bdd0e560 bf6b020c (-0.102000, -0.918000) :17
bdc49ba8 bf6b020c (-0.096000, -0.918000) :13
bdb851e8 bf6b020c (-0.090000, -0.918000) :14
bdac0830 bf6b020c (-0.084000, -0.918000) :e
bd9fbe78 bf6b020c (-0.078000, -0.918000) :d
bd9374b8 bf6b020c (-0.072000, -0.918000) :c
bd872b00 bf6b020c (-0.066000, -0.918000) :b
bd75c290 bf6b020c (-0.060000, -0.918000) :b
be322d10 bf6978d5 (-0.174000, -0.912000) :b
be2c0830 bf6978d5 (-0.168000, -0.912000) :b
be25e354 bf6978d5 (-0.162000, -0.912000) :c
be1fbe78 bf6978d5 (-0.156000, -0.912000) :11
be199998 bf6978d5 (-0.150000, -0.912000) :11
be1374bc bf6978d5 (-0.144000, -0.912000) :e
be0d4fe0 bf6978d5 (-0.138000, -0.912000) :e
be072b00 bf6978d5 (-0.132000, -0.912000) :e
be010624 bf6978d5 (-0.126000, -0.912000) :10
bdf5c290 bf6978d5 (-0.120000, -0.912000) :11
bde978d8 bf6978d5 (-0.114000, -0.912000) :2f
bddd2f18 bf6978d5 (-0.108000, -0.912000) :3c
bdd0e560 bf6978d5 (-0.102000, -0.912000) :1d
bdc49ba8 bf6978d5 (-0.096000, -0.912000) :11
bdb851e8 bf6978d5 (-0.090000, -0.912000) :10
bdac0830 bf6978d5 (-0.084000, -0.912000) :e
bd9fbe78 bf6978d5 (-0.078000, -0.912000) :d
bd9374b8 bf6978d5 (-0.072000, -0.912000) :c
bd872b00 bf6978d5 (-0.066000, -0.912000) :c
bd75c290 bf6978d5 (-0.060000, -0.912000) :c
bd5d2f20 bf6978d5 (-0.054000, -0.912000) :b
be3851ec bf67ef9e (-0.180000, -0.906000) :b
be322d10 bf67ef9e (-0.174000, -0.906000) :c
be2c0830 bf67ef9e (-0.168000, -0.906000) :c
be25e354 bf67ef9e (-0.162000, -0.906000) :d
be1fbe78 bf67ef9e (-0.156000, -0.906000) :11
be199998 bf67ef9e (-0.150000, -0.906000) :1d
be1374bc bf67ef9e (-0.144000, -0.906000) :10
be0d4fe0 bf67ef9e (-0.138000, -0.906000) :f
be072b00 bf67ef9e (-0.132000, -0.906000) :11
be010624 bf67ef9e (-0.126000, -0.906000) :13
bdf5c290 bf67ef9e (-0.120000, -0.906000) :14
bde978d8 bf67ef9e (-0.114000, -0.906000) :17
bddd2f18 bf67ef9e (-0.108000, -0.906000) :3f
bdd0e560 bf67ef9e (-0.102000, -0.906000) :16
bdc49ba8 bf67ef9e (-0.096000, -0.906000) :13
bdb851e8 bf67ef9e (-0.090000, -0.906000) :12
bdac0830 bf67ef9e (-0.084000, -0.906000) :e
bd9fbe78 bf67ef9e (-0.078000, -0.906000) :e
bd9374b8 bf67ef9e (-0.072000, -0.906000) :e
bd872b00 bf67ef9e (-0.066000, -0.906000) :d
bd75c290 bf67ef9e (-0.060000, -0.906000) :e
bd5d2f20 bf67ef9e (-0.054000, -0.906000) :21
be3851ec bf666667 (-0.180000, -0.900000) :13
be322d10 bf666667 (-0.174000, -0.900000) :12
be2c0830 bf666667 (-0.168000, -0.900000) :13
be25e354 bf666667 (-0.162000, -0.900000) :11
be1fbe78 bf666667 (-0.156000, -0.900000) :12
be199998 bf666667 (-0.150000, -0.900000) :24
be1374bc bf666667 (-0.144000, -0.900000) :12
be0d4fe0 bf666667 (-0.138000, -0.900000) :11
be072b00 bf666667 (-0.132000, -0.900000) :13
be010624 bf666667 (-0.126000, -0.900000) :1f
bdf5c290 bf666667 (-0.120000, -0.900000) :1f
bde978d8 bf666667 (-0.114000, -0.900000) :1e
